group1;2.05
group2;1.69
group3;1.88
group4;1.77
group5;1.13
group6;1.75
group7;2.07
group8;1.07
group9;2.15
group10;2.30
group11;1.83
group12;1.72
group13;1.40
group14;2.21
group15;1.64
group16;1.36
group17;1.98
group18;1.29
group19;1.42
group20;1.83
group21;1.83
group22;1.51
group23;1.67
group24;1.98
group25;1.51
group26;1.89
group27;2.38
group28;2.08
group29;2.16
group30;1.86
group31;1.87
group32;1.71
group33;1.81
group34;1.58
group35;2.04
group36;1.59
group37;1.65
group38;1.96
group39;1.37
group40;2.09
group41;2.22
group42;1.94
group43;1.10
group44;1.77
group45;1.86
group46;2.16
group47;2.26
group48;2.42
group49;1.50
group50;1.47
group51;1.96
group52;1.83
group53;2.26
group54;2.10
group55;2.38
group56;1.84
group57;1.82
group58;2.07
group59;1.28
group60;1.55
group61;2.39
group62;2.22
group63;2.42
group64;1.72
group65;2.10
group66;1.69
group67;2.38
group68;1.04
group69;1.57
group70;1.78
group71;1.70
group72;1.77
group73;1.94
group74;2.04
group75;1.91
group76;1.43
group77;1.54
group78;1.65
group79;1.98
group80;2.08
group81;1.61
group82;1.89
group83;1.68
group84;1.36
group85;1.89
group86;1.74
group87;2.13
group88;2.43
group89;1.94
group90;1.67
group91;1.59
group92;1.78
group93;1.44
group94;1.70
group95;1.81
group96;2.31
group97;2.19
group98;1.65
group99;2.29
group100;2.23
group101;1.68
group102;1.47
group103;1.61
group104;1.54
group105;2.15
group106;1.93
group107;2.13
group108;1.36
group109;1.35
group110;1.70
group111;1.64
group112;1.61
group113;1.25
group114;1.91
group115;1.86
group116;2.01
group117;1.36
group118;1.37
group119;1.21
group120;1.25
group121;1.67
group122;1.84
group123;1.66
group124;1.03
group125;1.68
group126;1.46
group127;1.22
group128;1.86
group129;1.83
group130;1.57
group131;1.84
group132;1.05
group133;1.97
group134;1.00
group135;1.50
group136;2.03
group137;1.92
group138;1.83
group139;1.51
group140;1.23
group141;2.05
group142;0.81
group143;2.06
group144;1.25
group145;1.75
group146;2.35
group147;1.66
group148;2.04
group149;1.87
group150;1.28
group151;0.72
group152;1.47
group153;1.68
group154;2.04
group155;1.98
group156;1.69
group157;2.19
group158;2.32
group159;2.15
group160;1.80
group161;2.19
group162;2.12
group163;2.10
group164;2.02
group165;2.21
group166;2.04
group167;1.59
group168;1.57
group169;2.29
group170;1.94
group171;2.03
group172;1.85
group173;2.28
group174;1.15
group175;2.23
group176;1.88
group177;1.81
group178;1.96
group179;2.11
group180;1.09
group181;2.02
group182;1.69
group183;2.23
group184;2.05
group185;1.53
group186;1.98
group187;1.96
group188;1.98
group189;1.55
group190;2.00
group191;2.29
group192;1.58
group193;2.04
group194;1.94
group195;1.29
group196;1.93
group197;2.14
group198;1.99
group199;1.80
group200;1.33
group201;2.06
group202;1.56
group203;2.50
group204;1.64
group205;2.19
group206;2.11
group207;2.12
group208;1.72
group209;1.93
group210;2.19
group211;1.94
group212;2.00
group213;1.68
group214;2.07
group215;2.27
group216;2.17
group217;2.14
group218;1.51
group219;2.05
group220;1.97
group221;1.93
group222;1.32
group223;2.27
group224;1.93
group225;2.10
group226;1.92
group227;2.21
group228;2.32
group229;1.72
group230;2.12
group231;1.63
group232;2.67
group233;0.98
group234;2.05
group235;2.43
group236;2.33
group237;2.54
group238;1.89
group239;1.61
group240;1.83
group241;2.18
group242;1.98
group243;2.08
group244;1.43
group245;1.59
group246;1.75
group247;1.97
group248;2.22
group249;2.14
group250;2.07
group251;2.06
group252;2.33
group253;1.86
group254;1.91
group255;2.24
group256;1.45
group257;2.37
group258;1.14
group259;1.74
group260;1.84
group261;1.91
group262;1.55
group263;2.42
group264;1.80
group265;1.46
group266;2.25
group267;1.85
group268;1.62
group269;1.23
group270;1.56
group271;1.78
group272;1.56
group273;1.03
group274;1.86
group275;1.71
group276;1.77
group277;1.61
group278;1.54
group279;2.14
group280;2.20
group281;1.48
group282;0.89
group283;1.85
group284;1.97
group285;1.62
group286;2.05
group287;1.94
group288;1.10
group289;2.30
group290;1.75
group291;2.17
group292;1.08
group293;1.71
group294;1.63
group295;1.90
group296;1.68
group297;1.57
group298;2.29
group299;1.65
group300;1.63
group301;2.20
group302;1.69
group303;2.24
group304;1.82
group305;1.42
group306;1.46
group307;1.58
group308;1.85
group309;2.11
group310;1.99
group311;2.02
group312;1.49
group313;1.96
group314;1.57
group315;2.01
group316;2.13
group317;1.84
group318;1.24
group319;1.81
group320;1.63
group321;2.07
group322;1.50
group323;2.07
group324;1.91
group325;1.62
group326;2.09
group327;1.89
group328;1.97
group329;1.85
group330;2.10
group331;1.54
group332;2.14
group333;1.98
group334;2.03
group335;1.89
group336;1.80
group337;1.84
group338;2.10
group339;1.71
group340;1.35
group341;1.65
group342;1.64
group343;1.87
group344;0.93
group345;2.04
group346;1.74
group347;1.16
group348;1.47
group349;1.79
group350;2.34
group351;1.63
group352;2.06
group353;1.83
group354;1.84
group355;1.57
group356;2.52
group357;1.56
group358;2.18
group359;2.18
group360;1.40
group361;1.63
group362;1.59
group363;1.11
group364;1.57
group365;2.10
group366;1.67
group367;1.54
group368;1.42
group369;1.66
group370;2.09
group371;1.61
group372;1.06
group373;1.49
group374;1.69
group375;1.62
group376;2.22
group377;1.87
group378;2.20
group379;2.16
group380;1.25
group381;1.56
group382;1.23
group383;1.39
group384;1.17
group385;1.84
group386;1.08
group387;1.11
group388;1.97
group389;1.58
group390;1.75
group391;2.04
group392;1.92
group393;2.02
group394;1.73
group395;1.53
group396;1.58
group397;1.92
group398;1.73
group399;2.05
group400;1.61
group401;1.99
group402;2.15
group403;1.71
group404;1.28
group405;1.67
group406;1.82
group407;2.12
group408;2.36
group409;1.90
group410;1.44
group411;1.47
group412;2.24
group413;1.27
group414;1.40
group415;1.34
group416;1.55
group417;1.37
group418;2.14
group419;2.21
group420;2.27
group421;1.86
group422;2.26
group423;1.31
group424;2.01
group425;1.93
