group;ratio_gapless;rmsd
group1;0.259;2.05
group10;0.003;2.3
group100;0.132;2.23
group101;0.106;1.68
group102;0.546;1.47
group103;0.504;1.61
group104;0.269;1.54
group105;0.035;2.15
group106;0.253;1.93
group107;0.39;2.13
group108;0.079;1.36
group109;0.165;1.35
group11;0.263;1.83
group110;0.125;1.7
group111;0.518;1.64
group112;0.187;1.61
group113;0.318;1.25
group114;0.222;1.91
group115;0.358;1.86
group116;0.03;2.01
group117;0.572;1.36
group118;0.297;1.37
group119;0.558;1.21
group12;0.488;1.72
group120;0.635;1.25
group121;0.437;1.67
group122;0.704;1.84
group123;0.156;1.66
group124;0.707;1.03
group125;0.225;1.68
group126;0.168;1.46
group127;0.761;1.22
group128;0.122;1.86
group129;0.523;1.83
group13;0.325;1.4
group130;0.243;1.57
group131;0.136;1.84
group132;0.932;1.05
group133;0.099;1.97
group134;0.719;1.0
group135;0.833;1.5
group136;0.251;2.03
group137;0.656;1.92
group138;0.093;1.83
group139;0.342;1.51
group14;0.117;2.21
group140;0.784;1.23
group141;0.441;2.05
group142;0.884;0.81
group143;0.083;2.06
group144;0.129;1.25
group145;0.076;1.75
group146;0.192;2.35
group147;0.38;1.66
group148;0.325;2.04
group149;0.188;1.87
group15;0.316;1.64
group150;0.896;1.28
group151;0.748;0.72
group152;0.463;1.47
group153;0.756;1.68
group154;0.278;2.04
group155;0.372;1.98
group156;0.51;1.69
group157;0.04;2.19
group158;0.145;2.32
group159;0.085;2.15
group16;0.402;1.36
group160;0.318;1.8
group161;0.165;2.19
group162;0.506;2.12
group163;0.431;2.1
group164;0.349;2.02
group165;0.165;2.21
group166;0.071;2.04
group167;0.216;1.59
group168;0.662;1.57
group169;0.279;2.29
group17;0.458;1.98
group170;0.225;1.94
group171;0.048;2.03
group172;0.208;1.85
group173;0.256;2.28
group174;0.682;1.15
group175;0.275;2.23
group176;0.24;1.88
group177;0.288;1.81
group178;0.449;1.96
group179;0.367;2.11
group18;0.633;1.29
group180;0.854;1.09
group181;0.167;2.02
group182;0.28;1.69
group183;0.077;2.23
group184;0.12;2.05
group185;0.641;1.53
group186;0.129;1.98
group187;0.121;1.96
group188;0.296;1.98
group189;0.446;1.55
group19;0.778;1.42
group190;0.127;2.0
group191;0.003;2.29
group192;0.412;1.58
group193;0.403;2.04
group194;0.164;1.94
group195;0.774;1.29
group196;0.168;1.93
group197;0.354;2.14
group198;0.071;1.99
group199;0.314;1.8
group2;0.294;1.69
group20;0.451;1.83
group200;0.8;1.33
group201;0.555;2.06
group202;0.6;1.56
group203;0.015;2.5
group204;0.387;1.64
group205;0.039;2.19
group206;0.039;2.11
group207;0.253;2.12
group208;0.611;1.72
group209;0.242;1.93
group21;0.367;1.83
group210;0.095;2.19
group211;0.266;1.94
group212;0.125;2.0
group213;0.426;1.68
group214;0.027;2.07
group215;0.113;2.27
group216;0.177;2.17
group217;0.041;2.14
group218;0.51;1.51
group219;0.614;2.05
group22;0.136;1.51
group220;0.55;1.97
group221;0.635;1.93
group222;0.644;1.32
group223;0.367;2.27
group224;0.205;1.93
group225;0.405;2.1
group226;0.489;1.92
group227;0.391;2.21
group228;0.379;2.32
group229;0.601;1.72
group23;0.62;1.67
group230;0.201;2.12
group231;0.871;1.63
group232;0.2;2.67
group233;0.967;0.98
group234;0.495;2.05
group235;0.193;2.43
group236;0.235;2.33
group237;0.046;2.54
group238;0.136;1.89
group239;0.277;1.61
group24;0.757;1.98
group240;0.358;1.83
group241;0.084;2.18
group242;0.001;1.98
group243;0.045;2.08
group244;0.623;1.43
group245;0.249;1.59
group246;0.322;1.75
group247;0.166;1.97
group248;0.249;2.22
group249;0.33;2.14
group25;0.384;1.51
group250;0.057;2.07
group251;0.18;2.06
group252;0.242;2.33
group253;0.594;1.86
group254;0.157;1.91
group255;0.35;2.24
group256;0.608;1.45
group257;0.078;2.37
group258;0.44;1.14
group259;0.349;1.74
group26;0.102;1.89
group260;0.248;1.84
group261;0.138;1.91
group262;0.387;1.55
group263;0.261;2.42
group264;0.115;1.8
group265;0.462;1.46
group266;0.235;2.25
group267;0.283;1.85
group268;0.886;1.62
group269;0.535;1.23
group27;0.043;2.38
group270;0.81;1.56
group271;0.267;1.78
group272;0.396;1.56
group273;0.671;1.03
group274;0.169;1.86
group275;0.348;1.71
group276;0.383;1.77
group277;0.575;1.61
group278;0.094;1.54
group279;0.36;2.14
group28;0.183;2.08
group280;0.469;2.2
group281;0.507;1.48
group282;0.87;0.89
group283;0.158;1.85
group284;0.556;1.97
group285;0.656;1.62
group286;0.516;2.05
group287;0.492;1.94
group288;0.164;1.1
group289;0.154;2.3
group29;0.227;2.16
group290;0.201;1.75
group291;0.786;2.17
group292;0.6;1.08
group293;0.212;1.71
group294;0.461;1.63
group295;0.412;1.9
group296;0.722;1.68
group297;0.266;1.57
group298;0.047;2.29
group299;0.127;1.65
group3;0.302;1.88
group30;0.708;1.86
group300;0.748;1.63
group301;0.259;2.2
group302;0.542;1.69
group303;0.019;2.24
group304;0.439;1.82
group305;0.0;1.42
group306;0.792;1.46
group307;0.338;1.58
group308;0.24;1.85
group309;0.231;2.11
group31;0.673;1.87
group310;0.108;1.99
group311;0.169;2.02
group312;0.815;1.49
group313;0.342;1.96
group314;0.357;1.57
group315;0.415;2.01
group316;0.329;2.13
group317;0.52;1.84
group318;0.676;1.24
group319;0.134;1.81
group32;0.503;1.71
group320;0.567;1.63
group321;0.351;2.07
group322;0.643;1.5
group323;0.276;2.07
group324;0.367;1.91
group325;0.57;1.62
group326;0.271;2.09
group327;0.379;1.89
group328;0.31;1.97
group329;0.758;1.85
group33;0.098;1.81
group330;0.257;2.1
group331;0.596;1.54
group332;0.143;2.14
group333;0.132;1.98
group334;0.27;2.03
group335;0.406;1.89
group336;0.1;1.8
group337;0.346;1.84
group338;0.153;2.1
group339;0.583;1.71
group34;0.336;1.58
group340;0.65;1.35
group341;0.084;1.65
group342;0.278;1.64
group343;0.044;1.87
group344;0.638;0.93
group345;0.699;2.04
group346;0.211;1.74
group347;0.72;1.16
group348;0.573;1.47
group349;0.36;1.79
group35;0.034;2.04
group350;0.028;2.34
group351;0.683;1.63
group352;0.205;2.06
group353;0.207;1.83
group354;0.455;1.84
group355;0.672;1.57
group356;0.232;2.52
group357;0.282;1.56
group358;0.357;2.18
group359;0.14;2.18
group36;0.457;1.59
group360;0.5;1.4
group361;0.117;1.63
group362;0.099;1.59
group363;0.0;1.11
group364;0.343;1.57
group365;0.086;2.1
group366;0.043;1.67
group367;0.226;1.54
group368;0.321;1.42
group369;0.142;1.66
group37;0.283;1.65
group370;0.568;2.09
group371;0.349;1.61
group372;0.896;1.06
group373;0.19;1.49
group374;0.067;1.69
group375;0.676;1.62
group376;0.112;2.22
group377;0.231;1.87
group378;0.261;2.2
group379;0.396;2.16
group38;0.235;1.96
group380;0.024;1.25
group381;0.638;1.56
group382;0.515;1.23
group383;0.179;1.39
group384;0.395;1.17
group385;0.059;1.84
group386;0.164;1.08
group387;0.643;1.11
group388;0.102;1.97
group389;0.153;1.58
group39;0.958;1.37
group390;0.08;1.75
group391;0.123;2.04
group392;0.039;1.92
group393;0.556;2.02
group394;0.212;1.73
group395;0.271;1.53
group396;0.166;1.58
group397;0.332;1.92
group398;0.569;1.73
group399;0.378;2.05
group4;0.359;1.77
group40;0.647;2.09
group400;0.261;1.61
group401;0.338;1.99
group402;0.523;2.15
group403;0.642;1.71
group404;0.55;1.28
group405;0.58;1.67
group406;0.547;1.82
group407;0.181;2.12
group408;0.052;2.36
group409;0.201;1.9
group41;0.248;2.22
group410;0.21;1.44
group411;0.195;1.47
group412;0.222;2.24
group413;0.642;1.27
group414;0.34;1.4
group415;0.667;1.34
group416;0.682;1.55
group417;0.731;1.37
group418;0.216;2.14
group419;0.055;2.21
group42;0.196;1.94
group420;0.064;2.27
group421;0.233;1.86
group422;0.407;2.26
group423;0.453;1.31
group424;0.292;2.01
group425;0.325;1.93
group43;0.588;1.1
group44;0.338;1.77
group45;0.238;1.86
group46;0.211;2.16
group47;0.142;2.26
group48;0.714;2.42
group49;0.193;1.5
group5;0.46;1.13
group50;0.509;1.47
group51;0.6;1.96
group52;0.169;1.83
group53;0.195;2.26
group54;0.576;2.1
group55;0.442;2.38
group56;0.348;1.84
group57;0.126;1.82
group58;0.212;2.07
group59;0.759;1.28
group6;0.049;1.75
group60;0.036;1.55
group61;0.11;2.39
group62;0.316;2.22
group63;0.096;2.42
group64;0.554;1.72
group65;0.356;2.1
group66;0.216;1.69
group67;0.237;2.38
group68;0.0;1.04
group69;0.294;1.57
group7;0.059;2.07
group70;0.175;1.78
group71;0.599;1.7
group72;0.516;1.77
group73;0.507;1.94
group74;0.19;2.04
group75;0.645;1.91
group76;0.125;1.43
group77;0.0;1.54
group78;0.133;1.65
group79;0.146;1.98
group8;0.839;1.07
group80;0.49;2.08
group81;0.72;1.61
group82;0.558;1.89
group83;0.852;1.68
group84;0.502;1.36
group85;0.449;1.89
group86;0.453;1.74
group87;0.203;2.13
group88;0.145;2.43
group89;0.145;1.94
group9;0.404;2.15
group90;0.672;1.67
group91;0.319;1.59
group92;0.075;1.78
group93;0.462;1.44
group94;0.418;1.7
group95;0.317;1.81
group96;0.388;2.31
group97;0.204;2.19
group98;0.427;1.65
group99;0.078;2.29
